occID,occ,occ_ctg,occ_grp,NOTE
4,ADVOCATE,"Administration, courts and police",Government,
7,AMBASSADOR,"Administration, courts and police",Government,
16,ASSISTANT,"Administration, courts and police",Government,
118,CIVIL SERVICE,"Administration, courts and police",Government,
120,CLERK,"Administration, courts and police",Government,
138,COLONIST,"Administration, courts and police",Government,
144,COMMISSIONER,"Administration, courts and police",Government,
150,CONSUL,"Administration, courts and police",Government,
171,DELEGATE,"Administration, courts and police",Government,
177,DIPLOMAT,"Administration, courts and police",Government,
225,FIREMAN,"Administration, courts and police",Government,
273,GOVERNMENT OFFICER,"Administration, courts and police",Government,
274,GOVERNMENT SERVICE,"Administration, courts and police",Government,
334,JAILER,"Administration, courts and police",Government,
344,JUDGE,"Administration, courts and police",Government,
382,MANAGER,"Administration, courts and police",Government,
396,MAYOR,"Administration, courts and police",Government,
431,NOTARY PUBLIC,"Administration, courts and police",Government,
472,POLICEMAN,"Administration, courts and police",Government,
479,PRESIDENT,"Administration, courts and police",Government,
537,SENATOR,"Administration, courts and police",Government,
6,"AGRICULTURIST, AGRICULTURALIST",Agriculture,Agriculture,
160,COUNTRY WOMAN,Agriculture,Agriculture,
162,CULTIVATOR,Agriculture,Agriculture,
212,FARM HAND,Agriculture,Agriculture,
213,"FARM LABORER, FARMBOY",Agriculture,Agriculture,
214,FARMER,Agriculture,Agriculture,
241,FRUIT GROWER,Agriculture,Agriculture,
250,"GARDENER, GROWER",Agriculture,Agriculture,
398,MEALER,Agriculture,Agriculture,
450,PEASANT,Agriculture,Agriculture,
465,PLANTER,Agriculture,Agriculture,
469,PLOW HOLDER,Agriculture,Agriculture,
540,SETTLER,Agriculture,Agriculture,
649,TURF CUTTER,Agriculture,Agriculture,
663,VINE-DRESSER,Agriculture,Agriculture,
664,VINTNER,Agriculture,Agriculture,
11,ARMY,Armed forces,Government,
12,ARMY OFFICER,Armed forces,Government,
81,CADET,Armed forces,Government,
253,GENERAL,Armed forces,Government,
405,MILITARY,Armed forces,Government,
424,NAVY,Armed forces,Government,
433,OFFICER,Armed forces,Government,
488,PRIVATEER,Armed forces,Government,
577,SOLDIER,Armed forces,Government,
80,"CABMAN, CABDRIVER",Carrier trade,Transportation and communication,
172,DELIVERY MAN,Carrier trade,Transportation and communication,
476,POST OFFICER,Carrier trade,Transportation and communication,
512,RIGGER,Water transport,Transportation and communication,
546,SHIP BROKER,Water transport,Transportation and communication,
549,SHIP CHANDLER,Water transport,Transportation and communication,
285,GYPSER,"Cement industry, manufacture of artificial stone",Manufacturing and mining,
71,"BROKER, SHARE BROKER",Commercial brokerage services,Trade and commerce,
142,COMMERCIAL TRAVELLER,Undetermined,NA,
143,COMMISSION AGENT,Commercial brokerage services,Trade and commerce,
151,CONSULTANT,Commercial brokerage services,Trade and commerce,
208,FACTOR,Commercial brokerage services,Trade and commerce,
449,PAWN BROKER,Commercial brokerage services,Trade and commerce,
10,ARCHITECT,"Construction, repair and maintenance of residences and general construction work",Construction,
70,"BRICKLAYER, MAURER","Construction, repair and maintenance of residences and general construction work",Construction,
74,BUILDER,"Construction, repair and maintenance of residences and general construction work",Construction,
115,CHIMNEY SWEEPER,"Construction, repair and maintenance of residences and general construction work",Construction,
170,DECORATOR,"Construction, repair and maintenance of residences and general construction work",Construction,
176,DIGGER,"Construction, repair and maintenance of residences and general construction work",Construction,
198,ELECTRICIAN,"Construction, repair and maintenance of residences and general construction work",Construction,
279,GRAVER,"Construction, repair and maintenance of residences and general construction work",Construction,
300,HEATOR,"Construction, repair and maintenance of residences and general construction work",Construction,
310,HOUSE CARPENTER,"Construction, repair and maintenance of residences and general construction work",Construction,
312,HOUSE PAINTER,"Construction, repair and maintenance of residences and general construction work",Construction,
388,MARBLE WORKER,"Construction, repair and maintenance of residences and general construction work",Construction,
391,MASON,"Construction, repair and maintenance of residences and general construction work",Construction,
441,PAINTER,"Construction, repair and maintenance of residences and general construction work",Construction,
443,PAPER HANGER,"Construction, repair and maintenance of residences and general construction work",Construction,
448,PAVER,"Construction, repair and maintenance of residences and general construction work",Construction,
460,PIPE LAYER,"Construction, repair and maintenance of residences and general construction work",Construction,
466,PLASTERER,"Construction, repair and maintenance of residences and general construction work",Construction,
470,PLUMBER,"Construction, repair and maintenance of residences and general construction work",Construction,
471,"POINT CUTTER, POINTER","Construction, repair and maintenance of residences and general construction work",Construction,
514,"ROOFER, ROOF MAKER","Construction, repair and maintenance of residences and general construction work",Construction,
545,SHINGLER,"Construction, repair and maintenance of residences and general construction work",Construction,
570,SLATER,"Construction, repair and maintenance of residences and general construction work",Construction,
600,STRAW WORKER,"Construction, repair and maintenance of residences and general construction work",Construction,
607,SWEEPER,"Construction, repair and maintenance of residences and general construction work",Construction,
620,THATCHER,"Construction, repair and maintenance of residences and general construction work",Construction,
645,TRIMMER,"Construction, repair and maintenance of residences and general construction work",Construction,
646,TRIMMING MAKER,"Construction, repair and maintenance of residences and general construction work",Construction,
658,UPHOLSTERER,"Construction, repair and maintenance of residences and general construction work",Construction,
676,WATERPROOFER,"Construction, repair and maintenance of residences and general construction work",Construction,
1,ACCOUNTANT,Credit and public commercial institutions,Trade and commerce,
3,ADJUSTER,Credit and public commercial institutions,Trade and commerce,
21,BANK CLERK,Credit and public commercial institutions,Trade and commerce,
22,BANKER,Credit and public commercial institutions,Trade and commerce,
50,BOOK-KEEPER,Credit and public commercial institutions,Trade and commerce,
100,CASHIER,Credit and public commercial institutions,Trade and commerce,
136,COLLECTOR,Credit and public commercial institutions,Trade and commerce,
325,INSURANCE AGENT,Credit and public commercial institutions,Trade and commerce,
370,"LENDER, BACKER",Credit and public commercial institutions,Trade and commerce,
503,REAL ESTATE AGENT,Credit and public commercial institutions,Trade and commerce,
509,RENTIER,Agriculture,Agriculture,
68,BREWER,"Distilling, brewing and honey fermenting",Production of food and drink,
104,CELLAR MAN,"Distilling, brewing and honey fermenting",Production of food and drink,
180,"DISTILLER, LIQUOR MAKER","Distilling, brewing and honey fermenting",Production of food and drink,
544,SHINER,"Distilling, brewing and honey fermenting",Production of food and drink,
23,BAR KEEPER,Drinking establishments,Service and hospitality,
24,"BAR MAN, BARTENDER",Drinking establishments,Service and hospitality,
685,WINE MERCHANT,Drinking establishments,Service and hospitality,
686,WINE PORTER,Drinking establishments,Service and hospitality,
490,PROFESSOR,Education services,"Education, sciences",
528,SCHOLAR,Education services,"Education, sciences",
529,SCHOOL MASTER,Education services,"Education, sciences",
602,STUDENT/SCHOLASTIC,Education services,"Education, sciences",
615,TEACHER,Education services,"Education, sciences",
651,TUTOR,Education services,"Education, sciences",
25,BARBER,Establishments providing bathing and personal hygiene services,Service and hospitality,
289,HAIR CUTTER,Establishments providing bathing and personal hygiene services,Service and hospitality,
290,HAIR DRESSER,Establishments providing bathing and personal hygiene services,Service and hospitality,
541,SHAVER,Establishments providing bathing and personal hygiene services,Service and hospitality,
333,IRONER,Establishments providing bathing and personal hygiene services,Service and hospitality,
364,"LAUNDRYMAID, LAUNDRY WOMAN",Establishments providing bathing and personal hygiene services,Service and hospitality,
188,DRILLER,Extraction of oil,Manufacturing and mining,
224,FINSMITH,Fishing and hunting,Agriculture,
227,FISHERMAN,Fishing and hunting,Agriculture,
316,HUNTER,Fishing and hunting,Agriculture,
235,FORESTER,"Forestry, forest industries",Agriculture,
502,RANGER,"Forestry, forest industries",Agriculture,
13,ARTIFICIAL FLOWERS MAKER,Garment making,"Leather, textiles, garments",
32,BEAD MAKER,Garment making,"Leather, textiles, garments",
39,BLACKING MAKER,Garment making,"Leather, textiles, garments",
48,BONNET MAKER,Garment making,"Leather, textiles, garments",
55,BOOT & SHOE MAKER,Garment making,"Leather, textiles, garments",
86,CAP MAKER,Garment making,"Leather, textiles, garments",
121,CLICKER,Garment making,"Leather, textiles, garments",
124,CLOG AND BUTTON MAKER,Garment making,"Leather, textiles, garments",
125,CLOGMAKER,Garment making,"Leather, textiles, garments",
126,CLOTH MAKER/MANUFACTURER,Garment making,"Leather, textiles, garments",
127,CLOTH WORKER,Garment making,"Leather, textiles, garments",
128,CLOTHIER,Garment making,"Leather, textiles, garments",
134,COBBLER,Garment making,"Leather, textiles, garments",
187,DRESSMAKER,Garment making,"Leather, textiles, garments",
233,FLOWER MAKER,Garment making,"Leather, textiles, garments",
266,GLOVE MAKER,Garment making,"Leather, textiles, garments",
267,GLOVER,Garment making,"Leather, textiles, garments",
296,HAT MAKER/MANUFACTURER,Garment making,"Leather, textiles, garments",
297,HATDRESSER,Garment making,"Leather, textiles, garments",
298,HATTER,Garment making,"Leather, textiles, garments",
363,LAST MAKER,Garment making,"Leather, textiles, garments",
385,MANTLE MAKER,Garment making,"Leather, textiles, garments",
447,PATTERN MAKER,Garment making,"Leather, textiles, garments",
463,PLAITER,Garment making,"Leather, textiles, garments",
494,PURSE MAKER,Garment making,"Leather, textiles, garments",
551,SHIRT MAKER,Garment making,"Leather, textiles, garments",
552,SHOE MANUFACTURER,Garment making,"Leather, textiles, garments",
553,SHOEMAKER,Garment making,"Leather, textiles, garments",
572,SLIPPER MAKER,Garment making,"Leather, textiles, garments",
592,STOCKING MENDER,Garment making,"Leather, textiles, garments",
593,STOCKING WEAVER,Garment making,"Leather, textiles, garments",
610,TAILOR,Garment making,"Leather, textiles, garments",
683,WIG MAKER,Garment making,"Leather, textiles, garments",
286,HABERDASHER,Garment making,"Leather, textiles, garments",
339,JOCKEY,"Inns, hotels, rooming houses and clubs","Arts, entertainment, sports",
345,JUGGLER,"Inns, hotels, rooming houses and clubs","Arts, entertainment, sports",
309,HOTEL KEEPER,"Inns, hotels, rooming houses and clubs",Service and hospitality,
322,INN KEEPER,"Inns, hotels, rooming houses and clubs",Service and hospitality,
492,PUBLICAN,"Inns, hotels, rooming houses and clubs",Service and hospitality,
511,RESTAURANT KEEPER/OWNER,"Inns, hotels, rooming houses and clubs",Service and hospitality,
521,SALON KEEPER,"Inns, hotels, rooming houses and clubs",Service and hospitality,
584,STABLEMAN/OSTLER,"Inns, hotels, rooming houses and clubs",Service and hospitality,
668,WAITER,"Inns, hotels, rooming houses and clubs",Service and hospitality,
669,WAITRESS,"Inns, hotels, rooming houses and clubs",Service and hospitality,
175,DIAMOND CUTTER,"Jewelry making, painting, manufacture of cultural, luxury items, etc.",Manufacturing and mining,
269,GOLDBEATER,"Jewelry making, painting, manufacture of cultural, luxury items, etc.",Manufacturing and mining,
270,GOLDSMITH,"Jewelry making, painting, manufacture of cultural, luxury items, etc.",Manufacturing and mining,
271,GOLDWORKER,"Jewelry making, painting, manufacture of cultural, luxury items, etc.",Manufacturing and mining,
336,JEWELER,"Jewelry making, painting, manufacture of cultural, luxury items, etc.",Manufacturing and mining,
103,CATTLE MAN,Livestock farming,Agriculture,
161,COW FEEDER,Livestock farming,Agriculture,
215,FARRIER,Livestock farming,Agriculture,
231,FLOCK MAKER,Livestock farming,Agriculture,
282,GROOM,Livestock farming,Agriculture,
302,"HERDSMAN, HERDER",Livestock farming,Agriculture,
305,HORSE KEEPER,Livestock farming,Agriculture,
306,HORSEMAN,Livestock farming,Agriculture,
308,HOSTLER,Livestock farming,Agriculture,
347,KENNELMAN,Livestock farming,Agriculture,
406,MILK MAN / WOMAN,Livestock farming,Agriculture,
543,SHEPHERD,Livestock farming,Agriculture,
79,"CABLEMAN, CABLER","Mail, telegraph, and telephone",Transportation and communication,
617,TELEGRAPHER,"Mail, telegraph, and telephone",Transportation and communication,
573,SMITH,Manufacture not included in above or undetermined,Manufacturing and mining,
9,APPRENTICE,Manufacture not included in above or undetermined,Manufacturing and mining,
14,ARTISAN,Manufacture not included in above or undetermined,Manufacturing and mining,
29,"BATHER, BATHMAKER",Manufacture not included in above or undetermined,Manufacturing and mining,
38,BIT MAKER,Manufacture not included in above or undetermined,Manufacturing and mining,
47,BOILER MAKER,Manufacture not included in above or undetermined,Manufacturing and mining,
77,BUTTON MAKER,Manufacture not included in above or undetermined,Manufacturing and mining,
165,CUTTER,Manufacture not included in above or undetermined,Manufacturing and mining,
234,FOREMAN,Manufacture not included in above or undetermined,Manufacturing and mining,
251,GAS MAN,Manufacture not included in above or undetermined,Manufacturing and mining,
252,GASFITTER,Manufacture not included in above or undetermined,Manufacturing and mining,
386,MANUFACTURER,Manufacture not included in above or undetermined,Manufacturing and mining,
392,MASTER,Manufacture not included in above or undetermined,Manufacturing and mining,
395,"MATTRESS MAKER, MATMAKER",Manufacture not included in above or undetermined,Manufacturing and mining,
399,MECHANIC,Manufacture not included in above or undetermined,Manufacturing and mining,
411,MILLWRIGHT,Manufacture not included in above or undetermined,Manufacturing and mining,
415,MODEL BUILDER/MAKER,Manufacture not included in above or undetermined,Manufacturing and mining,
435,OPERATIVE,Manufacture not included in above or undetermined,Manufacturing and mining,
461,PIPE MAKER,Manufacture not included in above or undetermined,Manufacturing and mining,
515,ROPE MAKER,Manufacture not included in above or undetermined,Manufacturing and mining,
518,SAIL MAKER,Manufacture not included in above or undetermined,Manufacturing and mining,
525,SAW MILL WORKER,Manufacture not included in above or undetermined,Manufacturing and mining,
527,SCALE MAKER,Manufacture not included in above or undetermined,Manufacturing and mining,
616,TECHNICIAN,Manufacture not included in above or undetermined,Manufacturing and mining,
647,TRUNK MAKER,Manufacture not included in above or undetermined,Manufacturing and mining,
648,TRUSS MAKER,Manufacture not included in above or undetermined,Manufacturing and mining,
698,WRIGHT,Manufacture not included in above or undetermined,Manufacturing and mining,
89,CAR BUILDER,Manufacture of carriages and construction of wooden vessels,Manufacturing and mining,
93,CARRIAGE BUILDER/MAKER,Manufacture of carriages and construction of wooden vessels,Manufacturing and mining,
95,CART MAKER,Manufacture of carriages and construction of wooden vessels,Manufacturing and mining,
98,CARTWRIGHT,Manufacture of carriages and construction of wooden vessels,Manufacturing and mining,
130,COACH MAKER/BUILDER,Manufacture of carriages and construction of wooden vessels,Manufacturing and mining,
135,COFFIN MAKER,Manufacture of carriages and construction of wooden vessels,Manufacturing and mining,
458,PIANO MAKER/MANUFACTURER,Manufacture of carriages and construction of wooden vessels,Manufacturing and mining,
477,"POTTER, POT MAKER",Manufacture of carriages and construction of wooden vessels,Manufacturing and mining,
571,SLEIGH MAKER,Manufacture of carriages and construction of wooden vessels,Manufacturing and mining,
666,WAGON MAKER,Manufacture of carriages and construction of wooden vessels,Manufacturing and mining,
28,BASKET MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining,
33,BICYCLE MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining,
57,BOTTLE MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining,
58,BOX MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining,
72,BROOM MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining,
78,CABINET MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining,
106,CHAIR MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining,
122,CLOCK MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining,
164,CUTLER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining,
278,GRATE MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining,
324,INSTRUMENT MAKER/MANUFACTURER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining,
348,KEY MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining,
376,LOCKSMITH,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining,1 line of record with FULL_OCC of 'LKSMH' was converted to 'LOCKSMITH'. 9 lines of record with FULL_OCC of 'LOCKMAKER' were converted to 'LOCKSMITH'.
418,MOULDER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining,
436,OPTICIAN,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining,
474,PORTMANTEAU MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining,
523,SATTLER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining,
583,SPOON MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining,
585,STAMP MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining,
656,UMBRELLA MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining,
673,WATCHMAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining,
8,APOTHECARY,Medical and health services,Service and hospitality,
173,DENTIST,Medical and health services,Service and hospitality,
181,DOCTOR,Medical and health services,Service and hospitality,
182,DOCTOR OF MEDICINE,Medical and health services,Service and hospitality,
191,DRUGGIST,Medical and health services,Service and hospitality,
394,MATRON,Medical and health services,Service and hospitality,
400,MEDICAL STUDENT,Medical and health services,Service and hospitality,
404,MIDWIFE,Medical and health services,Service and hospitality,
432,"NURSE, SICK NURSE",Medical and health services,Service and hospitality,
454,PHARMACIST,Medical and health services,Service and hospitality,
606,SURGEON,Medical and health services,Service and hospitality,
662,"VETERINARIAN, COW DOCTOR",Medical and health services,Service and hospitality,
27,BARON/BARONET,Member of privileged class,No occupation,
429,NOBLEMAN,Member of privileged class,No occupation,
137,COLLIER,Mining and quarrying,Manufacturing and mining,
412,MINER,Mining and quarrying,Manufacturing and mining,
497,QUARRYMAN,Mining and quarrying,Manufacturing and mining,
499,RABBI,Ministry in non-Christian faiths,Faith-related,
85,CANTOR,Ministry in other Christian faiths,Faith-related,
119,"CLERGYMAN, REVEREND",Ministry in other Christian faiths,Faith-related,
240,FRIAR,Ministry in other Christian faiths,Faith-related,
413,MINISTER,Ministry in other Christian faiths,Faith-related,
416,MONK,Ministry in other Christian faiths,Faith-related,
446,PASTOR,Ministry in other Christian faiths,Faith-related,
478,PREACHER,Ministry in other Christian faiths,Faith-related,
482,PRIEST,Ministry in other Christian faiths,Faith-related,
536,SEMINARIAN,Ministry in other Christian faiths,Faith-related,
567,SISTER OF MERCY,Ministry in other Christian faiths,Faith-related,
37,BISHOP,Ministry in the Orthodox faith,Faith-related,
59,BOY,"No occupation given, family relationship specified instead",No occupation,
114,"CHILD, YOUNGSTER","No occupation given, family relationship specified instead",No occupation,
209,FAMILY,"No occupation given, family relationship specified instead",No occupation,
210,FAMILY-GOING TO HUSBAND,"No occupation given, family relationship specified instead",No occupation,
216,FATHER,"No occupation given, family relationship specified instead",No occupation,
259,GIRL,"No occupation given, family relationship specified instead",No occupation,
276,GRANDCHILD,"No occupation given, family relationship specified instead",No occupation,
277,GRANDPARENT,"No occupation given, family relationship specified instead",No occupation,
317,HUSBAND,"No occupation given, family relationship specified instead",No occupation,
319,IN-LAW,"No occupation given, family relationship specified instead",No occupation,
321,INFANT,"No occupation given, family relationship specified instead",No occupation,
417,MOTHER,"No occupation given, family relationship specified instead",No occupation,
428,"NIECE, NEPHEW","No occupation given, family relationship specified instead",No occupation,
506,RELATIVE,"No occupation given, family relationship specified instead",No occupation,
566,SISTER,"No occupation given, family relationship specified instead",No occupation,
578,SON,"No occupation given, family relationship specified instead",No occupation,
582,SPINSTER,"No occupation given, family relationship specified instead",No occupation,
588,STEPDAUGHTER,"No occupation given, family relationship specified instead",No occupation,
589,STEPSON,"No occupation given, family relationship specified instead",No occupation,
681,"WIDOW/WIDOWER, GRASS WIDOW","No occupation given, family relationship specified instead",No occupation,
682,WIFE,"No occupation given, family relationship specified instead",No occupation,601 lines of record with FULL_OCC of 'HOUSEWIFE' were converted to 'WIFE'.
689,WOMAN,"No occupation given, family relationship specified instead",No occupation,
414,MISSIONARY,"Officials at churches, mosques, synagogues, prayer houses, cemetaries, etc., their servants and caretakers",Faith-related,
507,RELIGIOUS,"Officials at churches, mosques, synagogues, prayer houses, cemetaries, etc., their servants and caretakers",Faith-related,
381,MALTSTER,Other beverages and fermented substances,Production of food and drink,
701,YEAST MAKER,Other beverages and fermented substances,Production of food and drink,
94,CARRIER,Other overland transport and means of transport,Transportation and communication,
96,CARTER,Other overland transport and means of transport,Transportation and communication,
97,CARTMAN,Other overland transport and means of transport,Transportation and communication,
102,CATTLE DRIVER,Other overland transport and means of transport,Transportation and communication,
131,COACHMAN,Other overland transport and means of transport,Transportation and communication,
189,DRIVER,Other overland transport and means of transport,Transportation and communication,
190,DROVER,Other overland transport and means of transport,Transportation and communication,
473,PORTER,Other overland transport and means of transport,Transportation and communication,
495,PURSER,Other overland transport and means of transport,Transportation and communication,
667,WAGONER,Other overland transport and means of transport,Transportation and communication,
299,HAWKER,"Peddling, street hawking",Trade and commerce,
34,BINDER,Printing,Printing and journalism,
51,BOOKBINDER,Printing,Printing and journalism,
52,"BOOKMAKER, BOOKFOLDER",Printing,Printing and journalism,
53,BOOKMAN,Printing,Printing and journalism,Could be related to gambling or accounting.
205,ENGRAVER,Printing,Printing and journalism,
256,GILDER,Printing,Printing and journalism,
371,LETTER CUTTER,Printing,Printing and journalism,
375,LITHOGRAPHER,Printing,Printing and journalism,
442,PAINTER AND GILDER,Printing,Printing and journalism,
456,PHOTOGRAPHER,Printing,Printing and journalism,
480,PRESSER,Printing,Printing and journalism,
481,PRESSMAN,Printing,Printing and journalism,
483,PRINT DYER,Printing,Printing and journalism,
484,PRINT WORKER,Printing,Printing and journalism,
485,PRINTER,Printing,Printing and journalism,
654,TYPESETTER,Printing,Printing and journalism,
655,TYPOGRAPHER,Printing,Printing and journalism,
147,COMPOSITOR,Printing,Printing and journalism,
5,AGENT,"Private activity and service; servants, day laborers",Estate and household labor,
76,BUTLER,"Private activity and service; servants, day laborers",Estate and household labor,
107,CHAMBER MAID,"Private activity and service; servants, day laborers",Estate and household labor,
